103,318,13,16
69,308,10,16
45,302,12,18
33,276,12,15
21,264,11,14
170,289,10,15
110,267,8,14
130,210,10,16
138,259,19,17
221,254,9,15
208,234,11,13
270,219,7,11
293,220,9,9
222,273,11,11
195,306,11,17
119,240,10,17
187,270,11,17
283,303,11,16
235,283,9,14
228,320,12,16
251,325,15,15
285,335,14,18
347,269,11,14
392,333,13,19
455,334,13,15
392,260,11,13
417,253,11,13
460,255,11,11
489,260,8,11
257,365,15,17
225,368,12,17
223,344,14,15
318,306,15,20
365,295,11,13
261,252,14,14
280,251,14,14
344,392,16,15
524,376,15,14
555,285,12,12
598,277,12,17
625,280,10,18
618,247,12,14
542,270,8,12
624,359,13,14
588,332,12,16
457,411,19,22
429,413,18,16
382,417,19,20
606,385,15,19
652,387,16,20
531,414,17,17
484,398,17,21
613,297,11,19
525,350,11,13
807,235,10,15
846,238,9,14
723,294,13,16
699,295,12,18
690,338,16,18
745,348,13,16
743,326,13,17
772,323,12,17
786,358,15,16
820,351,12,12
812,385,14,21
801,399,16,18
753,391,17,17
769,393,18,20
670,390,12,18
892,265,14,12
831,289,14,14
890,369,12,18
777,267,11,13
882,308,12,18
911,203,10,14
900,227,10,15
827,240,12,13
989,396,17,27
990,374,12,17
898,380,16,21
863,384,12,19
673,407,15,22
720,427,18,21
770,434,17,24
780,414,15,15
852,418,16,20
939,417,16,15
951,453,19,18
988,454,15,22
871,441,20,26
928,447,15,19
639,330,14,12
81,399,15,19
50,394,17,20
50,415,17,14
158,354,13,18
191,376,14,21
156,411,16,19
175,425,15,22
201,409,11,20
219,419,13,26
193,432,12,22
145,434,15,17
159,451,17,20
137,465,16,26
81,467,17,24
127,517,18,25
154,528,20,27
173,514,36,65
121,480,21,31
19,523,19,26
11,544,19,25
66,369,15,18
3,344,7,28
42,447,18,18
74,418,18,20
244,402,19,21
313,399,14,22
341,426,18,24
288,424,19,16
248,432,15,27
292,453,17,21
353,476,18,25
289,476,17,18
266,486,21,27
146,340,12,16
179,332,15,16
388,493,20,26
393,534,20,24
400,468,15,22
408,450,16,23
499,434,16,22
522,441,17,24
498,419,13,15
582,485,19,28
691,446,11,19
713,459,12,22
641,443,13,21
616,450,14,23
646,478,18,26
596,547,24,28
887,511,20,30
938,517,18,25
904,538,17,29
939,569,19,24
907,571,19,25
839,516,19,29
864,486,15,21
957,327,11,17
960,308,12,15
981,262,9,12
984,214,6,9
964,207,9,13
254,514,18,34
288,514,19,31
266,556,22,27
950,497,17,18
905,475,18,17
946,350,8,9
972,344,12,15
758,298,15,17
744,258,15,13
842,215,11,13
819,439,13,14
967,403,15,19
1007,371,10,12
138,397,14,19
138,375,14,18
28,392,15,18
25,499,13,18
330,462,10,17
19,362,13,16
