24,30,8,9
47,28,7,8
66,32,7,8
65,23,4,4
18,71,7,7
7,128,7,10
30,123,8,10
57,137,8,13
78,129,7,10
93,128,8,11
97,118,9,9
84,65,8,9
91,64,7,9
7,164,8,10
28,162,8,11
22,179,9,11
48,181,6,8
63,181,7,11
77,189,7,9
78,202,9,9
26,196,8,8
25,209,9,11
3,214,6,6
40,232,7,9
18,256,10,13
31,266,7,9
65,256,6,7
35,322,8,9
31,284,8,7
105,266,7,8
90,262,9,8
120,256,7,10
109,242,6,10
89,240,8,9
110,204,9,11
127,192,8,12
115,177,9,13
151,191,8,11
149,175,5,6
192,188,9,9
194,172,7,10
165,141,8,8
186,131,11,10
207,136,7,11
226,141,7,8
217,131,7,7
144,129,8,7
123,132,8,8
123,112,8,9
157,108,8,9
141,88,7,6
126,93,6,10
177,85,8,9
183,77,7,6
158,91,6,6
149,50,6,7
158,49,6,10
211,40,8,11
226,84,7,8
243,67,8,11
241,49,8,10
257,45,8,10
240,33,7,8
263,79,6,4
258,89,8,11
242,94,5,4
279,88,7,5
274,66,7,7
296,39,6,9
326,70,8,7
334,39,6,6
353,35,7,9
348,54,7,8
297,92,9,9
325,97,7,7
323,121,7,8
327,117,7,7
303,143,9,8
327,136,8,9
320,173,5,7
320,156,7,8
259,168,8,9
229,192,8,11
244,144,7,7
225,214,7,7
214,220,8,9
222,244,8,7
225,256,7,9
218,277,8,7
228,301,6,8
239,290,9,9
245,309,6,11
232,320,8,10
168,323,9,6
134,321,9,11
116,318,9,8
178,293,8,9
210,293,8,9
202,289,9,9
188,265,8,11
175,231,7,12
176,207,8,9
161,215,8,11
154,233,7,12
256,184,7,11
283,240,10,12
262,262,6,13
307,220,11,14
316,207,9,10
346,220,8,9
351,238,9,10
359,239,9,12
340,255,10,14
386,259,10,12
411,257,9,13
433,204,8,9
466,212,8,11
482,211,8,13
414,219,10,11
410,190,8,12
377,198,9,10
378,187,8,8
360,179,8,6
365,145,7,9
362,156,6,7
370,142,6,9
387,138,7,10
406,134,8,10
407,123,9,11
383,126,8,8
390,115,7,10
367,126,7,8
353,115,9,9
368,72,9,9
406,85,7,7
410,64,7,8
418,37,6,8
393,57,7,7
